"subject","choiceTrial","choiceRt","chosenDeckId","difference","difficulty","selectedDeckLocation","leftDeckId","rightDeckId","riskyDeckSwitchTop","riskyDeckSwitchBottom","safeDeckSwitch","outcomeSwitch","condition","selectedRiskyDeck"
17,10,1393,"safeDeck","Extreme","Harder than Reference","left","safeDeck","riskyDeck",8,14,11,11,"HE",0
17,11,960,"riskyDeck","Moderate","Harder than Reference","right","safeDeck","riskyDeck",12,8,10,12,"HM",1
17,12,841,"riskyDeck","Moderate","Easier than Reference","left","riskyDeck","safeDeck",8,4,6,8,"EM",1
17,13,1296,"safeDeck","Extreme","Harder than Reference","right","riskyDeck","safeDeck",8,14,11,11,"HE",0
17,14,945,"safeDeck","Moderate","Harder than Reference","right","riskyDeck","safeDeck",12,8,10,10,"HM",0
17,15,1001,"safeDeck","Moderate","Easier than Reference","left","safeDeck","riskyDeck",8,4,6,6,"EM",0
17,16,2033,"riskyDeck","Extreme","Easier than Reference","left","riskyDeck","safeDeck",2,8,5,8,"EE",1
17,17,768,"riskyDeck","Moderate","Easier than Reference","right","safeDeck","riskyDeck",4,8,6,4,"EM",1
17,18,745,"riskyDeck","Moderate","Harder than Reference","left","riskyDeck","safeDeck",12,8,10,8,"HM",1
17,19,1047,"safeDeck","Extreme","Harder than Reference","right","riskyDeck","safeDeck",8,14,11,11,"HE",0
17,20,1216,"riskyDeck","Extreme","Easier than Reference","left","riskyDeck","safeDeck",8,2,5,8,"EE",1
17,21,857,"riskyDeck","Extreme","Easier than Reference","right","safeDeck","riskyDeck",8,2,5,8,"EE",1
17,22,1353,"safeDeck","Extreme","Harder than Reference","left","safeDeck","riskyDeck",8,14,11,11,"HE",0
17,23,2928,"safeDeck","Moderate","Harder than Reference","left","safeDeck","riskyDeck",12,8,10,10,"HM",0
17,24,1352,"riskyDeck","Moderate","Easier than Reference","left","riskyDeck","safeDeck",8,4,6,4,"EM",1
17,25,1264,"riskyDeck","Extreme","Harder than Reference","left","riskyDeck","safeDeck",14,8,11,8,"HE",1
17,26,1078,"safeDeck","Moderate","Harder than Reference","right","riskyDeck","safeDeck",12,8,10,10,"HM",0
17,28,3641,"riskyDeck","Moderate","Easier than Reference","left","riskyDeck","safeDeck",4,8,6,4,"EM",1
17,29,1069,"riskyDeck","Extreme","Easier than Reference","right","safeDeck","riskyDeck",8,2,5,8,"EE",1
17,30,650,"riskyDeck","Extreme","Harder than Reference","right","safeDeck","riskyDeck",8,14,11,8,"HE",1
17,31,1104,"safeDeck","Moderate","Easier than Reference","left","safeDeck","riskyDeck",4,8,6,6,"EM",0
17,32,973,"safeDeck","Moderate","Harder than Reference","left","safeDeck","riskyDeck",8,12,10,10,"HM",0
17,33,2202,"riskyDeck","Moderate","Easier than Reference","right","safeDeck","riskyDeck",4,8,6,4,"EM",1
17,34,848,"safeDeck","Extreme","Harder than Reference","left","safeDeck","riskyDeck",8,14,11,11,"HE",0
17,35,3466,"safeDeck","Moderate","Harder than Reference","left","safeDeck","riskyDeck",12,8,10,10,"HM",0
17,37,2403,"riskyDeck","Extreme","Easier than Reference","right","safeDeck","riskyDeck",8,2,5,2,"EE",1
17,38,1058,"safeDeck","Moderate","Easier than Reference","left","safeDeck","riskyDeck",4,8,6,6,"EM",0
17,39,271,"safeDeck","Extreme","Harder than Reference","right","riskyDeck","safeDeck",14,8,11,11,"HE",0
17,40,1195,"safeDeck","Moderate","Harder than Reference","left","safeDeck","riskyDeck",8,12,10,10,"HM",0
18,2,2001,"safeDeck","Moderate","Easier than Reference","right","riskyDeck","safeDeck",8,4,6,6,"EM",0
18,3,1324,"riskyDeck","Extreme","Harder than Reference","right","safeDeck","riskyDeck",14,8,11,14,"HE",1
18,4,5931,"riskyDeck","Moderate","Harder than Reference","right","safeDeck","riskyDeck",12,8,10,12,"HM",1
18,5,2400,"safeDeck","Extreme","Harder than Reference","right","riskyDeck","safeDeck",14,8,11,11,"HE",0
18,6,2127,"safeDeck","Moderate","Easier than Reference","right","riskyDeck","safeDeck",4,8,6,6,"EM",0
18,7,3317,"safeDeck","Extreme","Easier than Reference","right","riskyDeck","safeDeck",2,8,5,5,"EE",0
18,8,3450,"riskyDeck","Moderate","Harder than Reference","right","safeDeck","riskyDeck",12,8,10,12,"HM",1
18,9,3364,"riskyDeck","Moderate","Harder than Reference","right","safeDeck","riskyDeck",12,8,10,12,"HM",1
18,10,4068,"safeDeck","Moderate","Easier than Reference","left","safeDeck","riskyDeck",4,8,6,6,"EM",0
18,11,2096,"safeDeck","Extreme","Harder than Reference","right","riskyDeck","safeDeck",8,14,11,11,"HE",0
18,12,3618,"safeDeck","Extreme","Easier than Reference","right","riskyDeck","safeDeck",2,8,5,5,"EE",0
18,13,2397,"riskyDeck","Moderate","Easier than Reference","right","safeDeck","riskyDeck",4,8,6,8,"EM",1
